"Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt","growth","community"
"interactive LV (full HOI)",7,-49.70334285423275,0,1,0.4862573289110748,31.851671427116376,0.4862573289110748,"Colp","CD"
"interactive LV (intra HOI)",6,-49.690673300736925,0.01266955349582588,0.9936852456488625,0.4831867333275611,30.845336650368463,0.969444062238636,"Colp","CD"
"additive Ricker",4,-42.25101028540961,7.452332568823138,0.024084994086853453,0.011711504891512391,25.125505142704807,0.9811555671301483,"Colp","CD"
"additive LV",4,-42.0500592658036,7.653283588429154,0.021782643539398922,0.010591970064090201,25.0250296329018,0.9917475371942386,"Colp","CD"
"interactive Ricker",5,-40.26427103836751,9.43907181586524,0.008919316972313723,0.004337083246668485,25.132135519183755,0.9960846204409071,"Colp","CD"
"interactive LV (inter HOI)",5,-40.05969146937988,9.643651384852873,0.008052073102653547,0.0039153795590930246,25.02984573468994,1,"Colp","CD"
"interactive LV (intra HOI)",8,61.66794381020298,0,1,0.5509305349791672,-22.83397190510149,0.5509305349791672,"Colp","CDP"
"additive Ricker",5,62.7085854685837,1.0406416583807214,0.5943298390182714,0.3274344561644186,-26.35429273429185,0.8783649911435858,"Colp","CDP"
"interactive LV (full HOI)",11,65.70870269301072,4.040758882807744,0.13260513965259968,0.07305622052979392,-21.85435134650536,0.9514212116733797,"Colp","CDP"
"interactive Ricker",8,66.57151285716736,4.903569046964385,0.086139730888205,0.04745700802120027,-25.28575642858368,0.99887821969458,"Colp","CDP"
"additive LV",5,74.84169102554281,13.173747215339837,0.0013783424737875824,7.593709564683015e-4,-32.42084551277141,0.9996375906510483,"Colp","CDP"
"interactive LV (inter HOI)",8,76.3211230866132,14.65317927641022,6.578131469249443e-4,3.6240934895168906e-4,-30.1605615433066,1,"Colp","CDP"
"interactive Ricker",8,-77.51844346739395,0,1,0.6830307615218303,46.759221733696975,0.6830307615218303,"Colp","CDS"
"interactive LV (inter HOI)",8,-75.66845874332459,1.8499847240693583,0.3965344477797869,0.2708452258366663,45.834229371662296,0.9538759873584965,"Colp","CDS"
"interactive LV (full HOI)",11,-71.82033946061898,5.698104006774969,0.057899183095572064,0.03954692312126047,46.91016973030949,0.9934229104797571,"Colp","CDS"
"additive Ricker",5,-67.03335911359623,10.485084353797717,0.0052867997577681555,0.003611046864561811,38.51667955679812,0.9970339573443189,"Colp","CDS"
"additive LV",5,-66.27380433719979,11.244639130194159,0.0036162432614023116,0.002470005388683808,38.136902168599896,0.9995039627330027,"Colp","CDS"
"interactive LV (intra HOI)",8,-63.063155232609006,14.455288234784945,7.262297614416269e-4,4.960372669972915e-4,39.5315776163045,1,"Colp","CDS"
"interactive LV (full HOI)",7,-88.23032070717477,0,1,0.5940913848047239,51.115160353587385,0.5940913848047239,"Dexio","CD"
"interactive LV (intra HOI)",6,-87.32313912963089,0.9071815775438807,0.6353426694118908,0.3774516062964401,49.661569564815444,0.9715429911011639,"Dexio","CD"
"additive Ricker",4,-80.9781478882604,7.252172818914374,0.02662016122606178,0.01581480844651606,44.4890739441302,0.9873577995476801,"Dexio","CD"
"interactive Ricker",5,-80.249744732374,7.980575974800772,0.018494387202321376,0.010987356104141869,45.124872366187,0.9983451556518219,"Dexio","CD"
"additive LV",4,-75.51761967312545,12.712701034049317,0.0017356895367334093,0.0010311582004690208,41.758809836562726,0.999376313852291,"Dexio","CD"
"interactive LV (inter HOI)",5,-74.51203838805341,13.718282319121357,0.0010498151692843434,6.236861477091412e-4,42.256019194026706,1,"Dexio","CD"
"additive Ricker",5,3.23926716341171,0,1,0.5432590107023891,3.380366418294145,0.5432590107023891,"Dexio","CDP"
"additive LV",5,5.323181297646675,2.0839141342349654,0.352763623867301,0.19164201731393962,2.3384093511766624,0.7349010280163287,"Dexio","CDP"
"interactive LV (intra HOI)",8,6.218612471442562,2.979345308030852,0.22544644244952783,0.12247581129150359,4.890693764278719,0.8573768393078324,"Dexio","CDP"
"interactive Ricker",8,7.2176189854225115,3.9783518220108016,0.13680812107047985,0.07432224450880155,4.391190507288744,0.9316990838166339,"Dexio","CDP"
"interactive LV (inter HOI)",8,8.542496114028005,5.303228950616295,0.07053724044919227,0.03831999146410474,3.7287519429859977,0.9700190752807386,"Dexio","CDP"
"interactive LV (full HOI)",11,9.03331690125291,5.7940497378412,0.05518716510656408,0.02998092471926141,6.483341549373545,1,"Dexio","CDP"
"additive Ricker",5,-60.68663421224777,0,1,0.6490639459081395,35.343317106123884,0.6490639459081395,"Dexio","CDS"
"interactive LV (intra HOI)",8,-57.787874767343254,2.8987594449045133,0.2347158319109845,0.15234558402725523,36.89393738367163,0.8014095299353947,"Dexio","CDS"
"additive LV",5,-57.01381014017241,3.6728240720753575,0.15938828079900508,0.1034531864669168,33.506905070086205,0.9048627164023115,"Dexio","CDS"
"interactive Ricker",8,-55.89959541969799,4.7870387925497795,0.09130776951377655,0.05926458117268273,35.949797709848994,0.9641272975749943,"Dexio","CDS"
"interactive LV (full HOI)",11,-54.21826835354844,6.468365858699329,0.03939237815045693,0.025568172401041155,38.10913417677422,0.9896954699760354,"Dexio","CDS"
"interactive LV (inter HOI)",8,-52.40073894213819,8.285895270109577,0.015875985854593964,0.010304530023964566,34.200369471069095,1,"Dexio","CDS"
