"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","growth","community"
"interactive LV (intra HOI)",6,-48.73612784619147,0,1,0.5177852017182322,30.845336650368463,0.5177852017182322,"Colp","CD"
"interactive LV (full HOI)",7,-48.41598653239367,0.3201413137978051,0.852083581255734,0.4411962690012939,31.851671427116376,0.9589814707195261,"Colp","CD"
"additive Ricker",4,-41.80656584096517,6.929562005226302,0.0312798548827785,0.016196245970196494,25.125505142704807,0.9751777166897225,"Colp","CD"
"additive LV",4,-41.605614821359154,7.130513024832318,0.028289727886941982,0.014648002460494152,25.0250296329018,0.9898257191502167,"Colp","CD"
"interactive Ricker",5,-39.59011373499673,9.146014111194745,0.010326859540283624,0.005347095050181606,25.132135519183755,0.9951728142003983,"Colp","CD"
"interactive LV (inter HOI)",5,-39.385534166009094,9.350593680182378,0.009322757358810253,0.0048271857996017,25.02984573468994,1,"Colp","CD"
"interactive LV (intra HOI)",8,63.30430744656661,0,1,0.4714011451229747,-22.83397190510149,0.4714011451229747,"Colp","CDP"
"additive Ricker",5,63.367926127924356,0.06361868135774529,0.968691254490843,0.4566421666375943,-26.35429273429185,0.9280433117605691,"Colp","CDP"
"interactive Ricker",8,68.207876493531,4.903569046964392,0.08613973088820469,0.04060636778128456,-25.28575642858368,0.9686496795418535,"Colp","CDP"
"interactive LV (full HOI)",11,68.8145850459519,5.51027759938529,0.06360019136908913,0.02998120304142895,-21.85435134650536,0.9986308825832826,"Colp","CDP"
"additive LV",5,75.50103168488347,12.196724238316861,0.0022465442796155114,0.0010590235459802203,-32.42084551277141,0.9996899061292628,"Colp","CDP"
"interactive LV (inter HOI)",8,77.95748672297684,14.653179276410228,6.57813146924942e-4,3.1009387073736524e-4,-30.1605615433066,1.0000000000000002,"Colp","CDP"
"interactive Ricker",8,-75.93602588497637,0,1,0.6944275203821526,46.759221733696975,0.6944275203821526,"Colp","CDS"
"interactive LV (inter HOI)",8,-74.086041160907,1.8499847240693725,0.39653444777978414,0.2753644333178217,45.834229371662296,0.9697919536999743,"Colp","CDS"
"interactive LV (full HOI)",11,-68.82033946061898,7.115686424357392,0.028500227417479172,0.019791342255847503,46.91016973030949,0.9895832959558218,"Colp","CDS"
"additive Ricker",5,-66.3950612412558,9.54096464372057,0.008476290873473995,0.005886169653304418,38.51667955679812,0.9954694656091262,"Colp","CDS"
"additive LV",5,-65.63550646485936,10.300519420117013,0.005797898758667239,0.004026220458408052,38.136902168599896,0.9994956860675343,"Colp","CDS"
"interactive LV (intra HOI)",8,-61.48073765019142,14.455288234784952,7.262297614416244e-4,5.043139324656295e-4,39.5315776163045,0.9999999999999999,"Colp","CDS"
"interactive LV (full HOI)",7,-87.01292940282694,0,1,0.5519550267373713,51.115160353587385,0.5519550267373713,"Dexio","CD"
"interactive LV (intra HOI)",6,-86.41991332317927,0.5930160796476684,0.7434096503574522,0.4103286934398674,49.661569564815444,0.9622837201772387,"Dexio","CD"
"additive Ricker",4,-80.55709525668145,6.455834146145492,0.03963998003918805,0.021879486242398903,44.4890739441302,0.9841632064196376,"Dexio","CD"
"interactive Ricker",5,-79.61144686003357,7.401482542793374,0.024705206418245872,0.013636162869135177,45.124872366187,0.9977993692887728,"Dexio","CD"
"additive LV",4,-75.0965670415465,11.916362361280434,0.002584608635765151,0.0014265877286593948,41.758809836562726,0.9992259570174321,"Dexio","CD"
"interactive LV (inter HOI)",5,-73.87374051571298,13.13918888711396,0.001402366035405597,7.740429825678777e-4,42.256019194026706,1,"Dexio","CD"
"additive Ricker",5,3.877565035752135,0,1,0.6098876359465162,3.380366418294145,0.6098876359465162,"Dexio","CDP"
"additive LV",5,5.961479169987101,2.0839141342349654,0.352763623867301,0.21514617260835422,2.3384093511766624,0.8250338085548704,"Dexio","CDP"
"interactive LV (intra HOI)",8,7.801030053860146,3.9234650181080104,0.14061459370888182,0.0857591021366898,4.890693764278719,0.9107929106915602,"Dexio","CDP"
"interactive Ricker",8,8.800036567840095,4.92247153208796,0.085329438563697,0.052041369562256655,4.391190507288744,0.9628342802538169,"Dexio","CDP"
"interactive LV (inter HOI)",8,10.124913696445589,6.247348660693453,0.043995218107419944,0.026832139564485713,3.7287519429859977,0.9896664198183026,"Dexio","CDP"
"interactive LV (full HOI)",11,12.033316901252913,8.155751865500779,0.01694341641417315,0.010333580181697461,6.483341549373545,1,"Dexio","CDP"
"additive Ricker",5,-60.048336339907344,0,1,0.7221620635223753,35.343317106123884,0.7221620635223753,"Dexio","CDS"
"additive LV",5,-56.375512267831986,3.6728240720753575,0.15938828079900508,0.1151041697630933,33.506905070086205,0.8372662332854687,"Dexio","CDS"
"interactive LV (intra HOI)",8,-56.20545718492567,3.8428791549816737,0.14639606188771057,0.10572168214437842,36.89393738367163,0.9429879154298471,"Dexio","CDS"
"interactive Ricker",8,-54.317177837280404,5.73115850262694,0.05695013313646898,0.04112722566370645,35.949797709848994,0.9841151410935535,"Dexio","CDS"
"interactive LV (full HOI)",11,-51.21826835354844,8.830067986358905,0.012094142999716824,0.008733931265210191,38.10913417677422,0.9928490723587637,"Dexio","CDS"
"interactive LV (inter HOI)",8,-50.818321359720606,9.230014980186738,0.009902109238966873,0.007150927641236295,34.200369471069095,1,"Dexio","CDS"
