replicate,NumDays,treatment,predict_spec,mean.dens.ml
1,1,C+D,Colp,188.9591327913279
1,1,C+D,Dexio,331.409864498645
1,1,C+D+P,Colp,171.96856368563687
1,1,C+D+P,Dexio,193.57246612466125
1,1,C+D+P,Para,113.7580487804878
1,1,C+D+P+Pd,Colp,26.155952380952378
1,1,C+D+P+Pd,Dexio,85.24836968993066
1,1,C+D+P+Pd,Noise,13.84
1,1,C+D+P+Pd,Spath,20.1251376146789
1,1,C+D+P+Pd,Para,37.843599788836094
1,1,C+D+Pd,Colp,99.53835893994892
1,1,C+D+Pd,Dexio,217.50178861788618
1,1,C+D+Pd,Noise,13.84
1,1,C+D+Pd,Spath,16.22229508196721
1,1,C+D+S,Colp,151.639891598916
1,1,C+D+S,Dexio,100.06807588075881
1,1,C+D+S,Spiro,24.62934390016169
1,1,C+D+S+Pd,Colp,153.9278048780488
1,1,C+D+S+Pd,Dexio,158.91620596205962
1,1,C+D+S+Pd,Spath,30.726554217396796
1,1,C+D+S+Pd,Spiro,30.51367512858802
1,3,C+D,Colp,331.559891598916
1,3,C+D,Dexio,574.6037940379404
1,3,C+D+P,Colp,119.79663956639565
1,3,C+D+P,Dexio,298.3663956639566
1,3,C+D+P,Para,279.20043360433607
1,3,C+D+P+Pd,Colp,180.25756097560975
1,3,C+D+P+Pd,Dexio,334.26874868418105
1,3,C+D+P+Pd,Noise,13.84
1,3,C+D+P+Pd,Spath,102.08729838332866
1,3,C+D+P+Pd,Para,130.37355013550135
1,3,C+D+Pd,Colp,178.15718157181573
1,3,C+D+Pd,Dexio,283.73875338753385
1,3,C+D+Pd,Noise,22.369506120726044
1,3,C+D+Pd,Spath,39.80976318532416
1,3,C+D+S,Colp,275.8623306233062
1,3,C+D+S,Dexio,211.05062330623306
1,3,C+D+S,Spiro,34.873523672883785
1,3,C+D+S+Pd,Colp,58.50005318744776
1,3,C+D+S+Pd,Dexio,124.78213064199606
1,3,C+D+S+Pd,Spath,18.902562207440255
1,3,C+D+S+Pd,Spiro,13.84
1,5,C+D,Colp,387.78254742547426
1,5,C+D,Dexio,427.38970189701894
1,5,C+D+P,Colp,80.07696476964769
1,5,C+D+P,Dexio,195.29777777777778
1,5,C+D+P,Para,249.94514905149052
1,5,C+D+P+Pd,Colp,183.1830894308943
1,5,C+D+P+Pd,Dexio,436.16628726287263
1,5,C+D+P+Pd,Noise,19.492957746478872
1,5,C+D+P+Pd,Spath,122.79718157181573
1,5,C+D+P+Pd,Para,142.56325203252032
1,5,C+D+Pd,Colp,213.0259801264679
1,5,C+D+Pd,Dexio,369.6292682926829
1,5,C+D+Pd,Noise,14.663809523809524
1,5,C+D+Pd,Spath,23.562599999999996
1,5,C+D+S,Colp,184.49582655826558
1,5,C+D+S,Dexio,220.38981029810296
1,5,C+D+S,Spiro,47.93365853658536
1,5,C+D+S+Pd,Colp,177.1069918699187
1,5,C+D+S+Pd,Dexio,275.9373441734417
1,5,C+D+S+Pd,Noise,15.817142857142857
1,5,C+D+S+Pd,Spath,38.873978752862584
1,5,C+D+S+Pd,Spiro,19.917070770399924
1,7,C+D,Colp,334.97300813008127
1,7,C+D,Dexio,373.30493224932246
1,7,C+D+P,Colp,182.35112096575511
1,7,C+D+P,Dexio,297.50373983739837
1,7,C+D+P,Para,508.3668292682927
1,7,C+D+P+Pd,Colp,195.37279132791326
1,7,C+D+P+Pd,Dexio,381.3313821138211
1,7,C+D+P+Pd,Noise,13.84
1,7,C+D+P+Pd,Spath,102.35964026188935
1,7,C+D+P+Pd,Para,255.64617886178863
1,7,C+D+Pd,Colp,249.0449864498645
1,7,C+D+Pd,Dexio,294.0531165311653
1,7,C+D+Pd,Noise,16.00228731998595
1,7,C+D+Pd,Spath,50.874189701897016
1,7,C+D+S,Colp,332.310027100271
1,7,C+D+S,Dexio,302.679674796748
1,7,C+D+S,Spiro,60.94850948509485
1,7,C+D+S+Pd,Colp,453.4569105691057
1,7,C+D+S+Pd,Dexio,450.56888888888886
1,7,C+D+S+Pd,Noise,37.01240938166311
1,7,C+D+S+Pd,Spath,61.5544783197832
1,7,C+D+S+Pd,Spiro,67.17463414634146
1,9,C+D,Colp,430.5777777777778
1,9,C+D,Dexio,439.84195121951217
1,9,C+D+P,Colp,161.50417344173442
1,9,C+D+P,Dexio,323.9460162601626
1,9,C+D+P,Para,512.4925745257452
1,9,C+D+P+Pd,Colp,225.49073170731708
1,9,C+D+P+Pd,Dexio,363.4781571815718
1,9,C+D+P+Pd,Noise,13.84
1,9,C+D+P+Pd,Spath,75.11305158010258
1,9,C+D+P+Pd,Para,173.50634146341463
1,9,C+D+Pd,Colp,128.8732791327913
1,9,C+D+Pd,Dexio,269.48617886178863
1,9,C+D+Pd,Noise,14.720727272727274
1,9,C+D+Pd,Spath,34.725280810707794
1,9,C+D+S,Colp,264.19772357723576
1,9,C+D+S,Dexio,218.43945799457995
1,9,C+D+S,Spiro,45.3428544100567
1,9,C+D+S+Pd,Colp,234.15479674796748
1,9,C+D+S+Pd,Dexio,219.37568480300186
1,9,C+D+S+Pd,Noise,13.84
1,9,C+D+S+Pd,Spath,19.22963810174121
1,9,C+D+S+Pd,Spiro,31.24659820282413
1,11,C+D,Colp,210.45051490514905
1,11,C+D,Dexio,328.48433604336043
1,11,C+D+P,Colp,63.6489972899729
1,11,C+D+P,Dexio,69.31252032520325
1,11,C+D+P,Para,329.15945799457995
1,11,C+D+P+Pd,Colp,108.61962059620596
1,11,C+D+P+Pd,Dexio,87.54357990137278
1,11,C+D+P+Pd,Spath,72.41636488907261
1,11,C+D+P+Pd,Para,57.269771202630054
1,11,C+D+Pd,Colp,13.84
1,11,C+D+Pd,Dexio,25.53320596205962
1,11,C+D+Pd,Noise,27.618029850746268
1,11,C+D+Pd,Spath,29.106365607292435
1,11,C+D+S,Colp,147.55165311653116
1,11,C+D+S,Dexio,75.76368563685637
1,11,C+D+S,Spiro,56.41018970189702
1,11,C+D+S+Pd,Colp,28.345045504186384
1,11,C+D+S+Pd,Dexio,47.29604336043361
1,11,C+D+S+Pd,Noise,13.84
1,11,C+D+S+Pd,Spath,30.165211314923063
1,11,C+D+S+Pd,Spiro,13.84
1,13,C+D,Colp,453.6819512195122
1,13,C+D,Dexio,356.2768563685637
1,13,C+D+P,Colp,171.1059078590786
1,13,C+D+P,Dexio,93.09181571815718
1,13,C+D+P,Para,261.04715447154473
1,13,C+D+P+Pd,Colp,21.842401937046002
1,13,C+D+P+Pd,Dexio,43.02932436220914
1,13,C+D+P+Pd,Spath,40.81266184108289
1,13,C+D+P+Pd,Para,34.005585382582005
1,13,C+D+Pd,Noise,13.84
1,13,C+D+Pd,Spath,28.52390243902439
1,13,C+D+S,Colp,185.73355013550133
1,13,C+D+S,Dexio,101.08075880758807
1,13,C+D+S,Spiro,46.279640753432325
1,13,C+D+S+Pd,Colp,13.84
1,13,C+D+S+Pd,Dexio,13.84
1,13,C+D+S+Pd,Noise,13.84
1,13,C+D+S+Pd,Spath,13.84
1,13,C+D+S+Pd,Spiro,13.84
1,15,C+D,Colp,307.5930623306233
1,15,C+D,Dexio,327.24661246612465
1,15,C+D+P,Colp,107.94664188927604
1,15,C+D+P,Dexio,54.742727481512105
1,15,C+D+P,Para,383.88184281842814
1,15,C+D+P+Pd,Colp,13.84
1,15,C+D+P+Pd,Dexio,13.84
1,15,C+D+P+Pd,Spath,31.65421788617886
1,15,C+D+P+Pd,Para,25.67226459591602
1,15,C+D+Pd,Dexio,13.84
1,15,C+D+Pd,Noise,20.245289256198348
1,15,C+D+Pd,Spath,43.770406504065036
1,15,C+D+S,Colp,172.0060704607046
1,15,C+D+S,Dexio,202.53658536585365
1,15,C+D+S,Spiro,39.97745701719312
1,15,C+D+S+Pd,Spath,36.06384615384615
1,15,C+D+S+Pd,Spiro,27.11739837398374
1,17,C+D,Colp,407.73615176151765
1,17,C+D,Dexio,302.7546883468834
1,17,C+D+P,Colp,165.29235772357723
1,17,C+D+P,Dexio,133.7032140921409
1,17,C+D+P,Para,180.85766937669376
1,17,C+D+P+Pd,Spath,27.328449197860962
1,17,C+D+P+Pd,Para,13.84
